# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.7  0.2800  78.3057  1234.1609
7.5  0.7  0.2800  83.2425  1300.8750
7.5  0.7  0.2800  88.4905  1367.5242
7.5  0.7  0.2800  94.0694  1433.9684
7.5  0.7  0.2800  100.0000  1500.0776
7.5  0.7  0.3200  5.0000  53.4921
7.5  0.7  0.3200  5.3152  48.8932
7.5  0.7  0.3200  5.6503  44.0310
7.5  0.7  0.3200  6.0065  39.2464
7.5  0.7  0.3200  6.3852  34.5387
7.5  0.7  0.3200  6.7878  29.7534
7.5  0.7  0.3200  7.2157  25.3014
7.5  0.7  0.3200  7.6706  21.3647
7.5  0.7  0.3200  8.1542  18.0009
7.5  0.7  0.3200  8.6683  14.1968
7.5  0.7  0.3200  9.2148  11.4476
7.5  0.7  0.3200  9.7958  9.7485
7.5  0.7  0.3200  10.4133  9.8060
7.5  0.7  0.3200  11.0698  11.0054
7.5  0.7  0.3200  11.7677  14.2012
7.5  0.7  0.3200  12.5096  19.9340
7.5  0.7  0.3200  13.2983  27.4917
7.5  0.7  0.3200  14.1367  38.0069
7.5  0.7  0.3200  15.0279  51.6538
7.5  0.7  0.3200  15.9754  69.2530
7.5  0.7  0.3200  16.9825  89.8585
7.5  0.7  0.3200  18.0532  115.1473
7.5  0.7  0.3200  19.1914  143.0730
7.5  0.7  0.3200  20.4013  175.7482
7.5  0.7  0.3200  21.6875  211.3069
7.5  0.7  0.3200  23.0548  251.3490
7.5  0.7  0.3200  24.5083  294.1350
7.5  0.7  0.3200  26.0534  341.5287
7.5  0.7  0.3200  27.6959  393.2904
7.5  0.7  0.3200  29.4420  449.1664
7.5  0.7  0.3200  31.2982  508.8916
7.5  0.7  0.3200  33.2714  572.1925
7.5  0.7  0.3200  35.3690  638.7903
7.5  0.7  0.3200  37.5988  708.4029
7.5  0.7  0.3200  39.9692  780.7477
7.5  0.7  0.3200  42.4891  855.5431
7.5  0.7  0.3200  45.1678  932.5114
7.5  0.7  0.3200  48.0154  1011.3794
7.5  0.7  0.3200  51.0425  1091.8806
7.5  0.7  0.3200  54.2605  1173.7563
7.5  0.7  0.3200  57.6813  1256.7566
7.5  0.7  0.3200  61.3179  1340.6416
7.5  0.7  0.3200  65.1836  1425.1816
7.5  0.7  0.3200  69.2931  1510.1583
7.5  0.7  0.3200  73.6617  1595.3649
7.5  0.7  0.3200  78.3057  1680.6062
7.5  0.7  0.3200  83.2425  1765.6994
7.5  0.7  0.3200  88.4905  1850.4736
7.5  0.7  0.3200  94.0694  1934.7698
7.5  0.7  0.3200  100.0000  2018.4414
7.5  0.7  0.3600  5.0000  50.1929
7.5  0.7  0.3600  5.3152  45.3454
7.5  0.7  0.3600  5.6503  40.5218
7.5  0.7  0.3600  6.0065  35.6202
7.5  0.7  0.3600  6.3852  30.7451
7.5  0.7  0.3600  6.7878  26.2118
7.5  0.7  0.3600  7.2157  22.2910
7.5  0.7  0.3600  7.6706  18.1087
7.5  0.7  0.3600  8.1542  14.3153
7.5  0.7  0.3600  8.6683  11.4268
7.5  0.7  0.3600  9.2148  10.3097
7.5  0.7  0.3600  9.7958  10.0824
7.5  0.7  0.3600  10.4133  12.1888
7.5  0.7  0.3600  11.0698  16.4342
7.5  0.7  0.3600  11.7677  22.7129
7.5  0.7  0.3600  12.5096  32.6948
7.5  0.7  0.3600  13.2983  45.1986
7.5  0.7  0.3600  14.1367  62.3166
7.5  0.7  0.3600  15.0279  83.8589
7.5  0.7  0.3600  15.9754  109.0612
7.5  0.7  0.3600  16.9825  139.4276
7.5  0.7  0.3600  18.0532  173.6664
7.5  0.7  0.3600  19.1914  212.6274
7.5  0.7  0.3600  20.4013  256.1832
7.5  0.7  0.3600  21.6875  305.6114
7.5  0.7  0.3600  23.0548  360.6849
7.5  0.7  0.3600  24.5083  421.1510
7.5  0.7  0.3600  26.0534  486.7353
7.5  0.7  0.3600  27.6959  557.1458
7.5  0.7  0.3600  29.4420  632.0761
7.5  0.7  0.3600  31.2982  711.2090
7.5  0.7  0.3600  33.2714  794.2196
7.5  0.7  0.3600  35.3690  880.7787
7.5  0.7  0.3600  37.5988  970.5550
7.5  0.7  0.3600  39.9692  1063.2181
7.5  0.7  0.3600  42.4891  1158.4406
7.5  0.7  0.3600  45.1678  1255.9004
7.5  0.7  0.3600  48.0154  1355.2822
7.5  0.7  0.3600  51.0425  1456.2793
7.5  0.7  0.3600  54.2605  1558.5950
7.5  0.7  0.3600  57.6813  1661.9435
7.5  0.7  0.3600  61.3179  1766.0514
7.5  0.7  0.3600  65.1836  1870.6577
7.5  0.7  0.3600  69.2931  1975.5150
7.5  0.7  0.3600  73.6617  2080.3896
7.5  0.7  0.3600  78.3057  2185.0620
7.5  0.7  0.3600  83.2425  2289.3267
7.5  0.7  0.3600  88.4905  2392.9926
7.5  0.7  0.3600  94.0694  2495.8826
7.5  0.7  0.3600  100.0000  2597.8336
7.5  0.7  0.4000  5.0000  47.1249
7.5  0.7  0.4000  5.3152  42.2481
7.5  0.7  0.4000  5.6503  37.2133
7.5  0.7  0.4000  6.0065  32.2671
7.5  0.7  0.4000  6.3852  27.7394
7.5  0.7  0.4000  6.7878  23.7483
7.5  0.7  0.4000  7.2157  18.7923
7.5  0.7  0.4000  7.6706  14.7286
7.5  0.7  0.4000  8.1542  12.1982
7.5  0.7  0.4000  8.6683  10.6716
7.5  0.7  0.4000  9.2148  10.6559
7.5  0.7  0.4000  9.7958  13.0567
7.5  0.7  0.4000  10.4133  17.5381
7.5  0.7  0.4000  11.0698  25.2361
7.5  0.7  0.4000  11.7677  35.9796
7.5  0.7  0.4000  12.5096  51.1879
7.5  0.7  0.4000  13.2983  71.4725
7.5  0.7  0.4000  14.1367  95.9587
7.5  0.7  0.4000  15.0279  125.5216
7.5  0.7  0.4000  15.9754  160.7888
7.5  0.7  0.4000  16.9825  200.4619
7.5  0.7  0.4000  18.0532  247.2911
7.5  0.7  0.4000  19.1914  301.1026
7.5  0.7  0.4000  20.4013  361.6832
7.5  0.7  0.4000  21.6875  428.7847
7.5  0.7  0.4000  23.0548  502.1280
7.5  0.7  0.4000  24.5083  581.4076
7.5  0.7  0.4000  26.0534  666.2958
