# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.4  0.2543  11.6263  60.2107
218.0  1.4  0.2543  11.9820  60.8603
218.0  1.4  0.2543  12.3486  59.6702
218.0  1.4  0.2543  12.7264  60.2448
218.0  1.4  0.2543  13.1158  60.6798
218.0  1.4  0.2543  13.5171  61.0370
218.0  1.4  0.2543  13.9306  60.9088
218.0  1.4  0.2543  14.3568  59.7697
218.0  1.4  0.2543  14.7961  58.8849
218.0  1.4  0.2543  15.2488  59.6847
218.0  1.4  0.2543  15.7153  58.8810
218.0  1.4  0.2543  16.1962  58.7345
218.0  1.4  0.2543  16.6917  58.4839
218.0  1.4  0.2543  17.2024  59.1682
218.0  1.4  0.2543  17.7287  58.4808
218.0  1.4  0.2543  18.2711  59.1035
218.0  1.4  0.2543  18.8301  57.4080
218.0  1.4  0.2543  19.4063  57.0042
218.0  1.4  0.2543  20.0000  57.6994
218.0  1.4  0.2543  20.6119  56.8090
218.0  1.4  0.2543  21.2425  57.3579
218.0  1.4  0.2543  21.8925  56.1208
218.0  1.4  0.2543  22.5623  56.7038
218.0  1.4  0.2543  23.2526  56.1891
218.0  1.4  0.2543  23.9640  56.7326
218.0  1.4  0.2543  24.6972  55.5509
218.0  1.4  0.2543  25.4528  56.0327
218.0  1.4  0.2543  26.2316  56.5166
218.0  1.4  0.2543  27.0341  57.0016
218.0  1.4  0.2543  27.8613  54.9916
218.0  1.4  0.2543  28.7137  55.4001
218.0  1.4  0.2543  29.5922  55.4412
218.0  1.4  0.2543  30.4976  55.9434
218.0  1.4  0.2543  31.4307  54.7470
218.0  1.4  0.2543  32.3923  54.8559
218.0  1.4  0.2543  33.3834  54.6948
218.0  1.4  0.2543  34.4048  55.1194
218.0  1.4  0.2543  35.4574  54.0410
218.0  1.4  0.2543  36.5422  54.3334
218.0  1.4  0.2543  37.6603  54.6250
218.0  1.4  0.2543  38.8125  54.9153
218.0  1.4  0.2543  40.0000  55.2040
218.0  1.4  0.2652  5.0000  63.3947
218.0  1.4  0.2652  5.1530  63.0379
218.0  1.4  0.2652  5.3106  62.1559
218.0  1.4  0.2652  5.4731  63.0803
218.0  1.4  0.2652  5.6406  62.3372
218.0  1.4  0.2652  5.8131  62.2061
218.0  1.4  0.2652  5.9910  62.5260
218.0  1.4  0.2652  6.1743  61.7313
218.0  1.4  0.2652  6.3632  61.6401
218.0  1.4  0.2652  6.5579  61.5583
218.0  1.4  0.2652  6.7585  61.3986
218.0  1.4  0.2652  6.9653  62.1248
218.0  1.4  0.2652  7.1784  61.5282
218.0  1.4  0.2652  7.3981  60.5698
218.0  1.4  0.2652  7.6244  61.0140
218.0  1.4  0.2652  7.8577  60.5889
218.0  1.4  0.2652  8.0981  60.6417
218.0  1.4  0.2652  8.3458  60.7566
218.0  1.4  0.2652  8.6012  60.1794
218.0  1.4  0.2652  8.8644  60.7714
218.0  1.4  0.2652  9.1356  59.8743
218.0  1.4  0.2652  9.4151  60.0207
218.0  1.4  0.2652  9.7031  59.5886
218.0  1.4  0.2652  10.0000  60.0674
218.0  1.4  0.2652  10.3060  60.6062
218.0  1.4  0.2652  10.6213  59.3972
218.0  1.4  0.2652  10.9462  59.4825
218.0  1.4  0.2652  11.2811  60.0014
218.0  1.4  0.2652  11.6263  60.3026
218.0  1.4  0.2652  11.9820  59.7610
218.0  1.4  0.2652  12.3486  59.5002
218.0  1.4  0.2652  12.7264  59.8950
218.0  1.4  0.2652  13.1158  58.8268
218.0  1.4  0.2652  13.5171  59.6457
218.0  1.4  0.2652  13.9306  58.7011
218.0  1.4  0.2652  14.3568  59.4483
218.0  1.4  0.2652  14.7961  59.4757
218.0  1.4  0.2652  15.2488  58.6276
218.0  1.4  0.2652  15.7153  58.4313
218.0  1.4  0.2652  16.1962  58.8201
218.0  1.4  0.2652  16.6917  59.4976
218.0  1.4  0.2652  17.2024  58.8037
218.0  1.4  0.2652  17.7287  57.9577
218.0  1.4  0.2652  18.2711  58.5291
218.0  1.4  0.2652  18.8301  57.5972
218.0  1.4  0.2652  19.4063  56.6096
218.0  1.4  0.2652  20.0000  57.3039
218.0  1.4  0.2652  20.6119  56.9760
218.0  1.4  0.2652  21.2425  56.5501
218.0  1.4  0.2652  21.8925  57.1763
218.0  1.4  0.2652  22.5623  56.2280
218.0  1.4  0.2652  23.2526  56.7878
218.0  1.4  0.2652  23.9640  57.3503
218.0  1.4  0.2652  24.6972  55.9838
218.0  1.4  0.2652  25.4528  55.3283
218.0  1.4  0.2652  26.2316  55.7853
218.0  1.4  0.2652  27.0341  54.8908
218.0  1.4  0.2652  27.8613  55.4516
218.0  1.4  0.2652  28.7137  55.1608
218.0  1.4  0.2652  29.5922  54.3553
218.0  1.4  0.2652  30.4976  54.8504
218.0  1.4  0.2652  31.4307  54.1138
218.0  1.4  0.2652  32.3923  54.5371
218.0  1.4  0.2652  33.3834  54.8672
218.0  1.4  0.2652  34.4048  53.5260
218.0  1.4  0.2652  35.4574  53.9222
218.0  1.4  0.2652  36.5422  54.3161
218.0  1.4  0.2652  37.6603  54.7073
218.0  1.4  0.2652  38.8125  54.1141
218.0  1.4  0.2652  40.0000  52.7431
218.0  1.4  0.2761  5.0000  62.5526
218.0  1.4  0.2761  5.1530  62.9034
218.0  1.4  0.2761  5.3106  62.8088
218.0  1.4  0.2761  5.4731  63.0688
218.0  1.4  0.2761  5.6406  62.4062
218.0  1.4  0.2761  5.8131  62.8261
218.0  1.4  0.2761  5.9910  61.9782
218.0  1.4  0.2761  6.1743  61.5581
218.0  1.4  0.2761  6.3632  62.7288
218.0  1.4  0.2761  6.5579  62.0956
218.0  1.4  0.2761  6.7585  61.0523
218.0  1.4  0.2761  6.9653  60.5462
218.0  1.4  0.2761  7.1784  61.6191
218.0  1.4  0.2761  7.3981  60.1227
218.0  1.4  0.2761  7.6244  60.3290
218.0  1.4  0.2761  7.8577  60.8152
218.0  1.4  0.2761  8.0981  59.8584
218.0  1.4  0.2761  8.3458  59.6243
218.0  1.4  0.2761  8.6012  59.7380
218.0  1.4  0.2761  8.8644  60.2107
218.0  1.4  0.2761  9.1356  59.5580
218.0  1.4  0.2761  9.4151  59.1596
218.0  1.4  0.2761  9.7031  59.6133
218.0  1.4  0.2761  10.0000  59.3195
218.0  1.4  0.2761  10.3060  59.4186
218.0  1.4  0.2761  10.6213  59.3668
218.0  1.4  0.2761  10.9462  58.1764
218.0  1.4  0.2761  11.2811  59.1025
218.0  1.4  0.2761  11.6263  59.2040
218.0  1.4  0.2761  11.9820  59.4160
218.0  1.4  0.2761  12.3486  57.8831
218.0  1.4  0.2761  12.7264  58.1833
218.0  1.4  0.2761  13.1158  58.0681
218.0  1.4  0.2761  13.5171  59.1038
218.0  1.4  0.2761  13.9306  58.5129
