# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.2  0.3200  31.2982  7809.4264
7.5  0.2  0.3200  33.2714  9041.8261
7.5  0.2  0.3200  35.3690  10408.6517
7.5  0.2  0.3200  37.5988  11919.2544
7.5  0.2  0.3200  39.9692  13583.3461
7.5  0.2  0.3200  42.4891  15411.0008
7.5  0.2  0.3200  45.1678  17412.6560
7.5  0.2  0.3200  48.0154  19599.1134
7.5  0.2  0.3200  51.0425  21981.5382
7.5  0.2  0.3200  54.2605  24571.4588
7.5  0.2  0.3200  57.6813  27380.7649
7.5  0.2  0.3200  61.3179  30421.7055
7.5  0.2  0.3200  65.1836  33706.8856
7.5  0.2  0.3200  69.2931  37249.2625
7.5  0.2  0.3200  73.6617  41062.1414
7.5  0.2  0.3200  78.3057  45159.1698
7.5  0.2  0.3200  83.2425  49554.3314
7.5  0.2  0.3200  88.4905  54261.9389
7.5  0.2  0.3200  94.0694  59296.6267
7.5  0.2  0.3200  100.0000  64673.3419
7.5  0.2  0.3600  5.0000  43.6963
7.5  0.2  0.3600  5.3152  39.6230
7.5  0.2  0.3600  5.6503  35.2977
7.5  0.2  0.3600  6.0065  31.2663
7.5  0.2  0.3600  6.3852  27.7863
7.5  0.2  0.3600  6.7878  23.2361
7.5  0.2  0.3600  7.2157  18.7530
7.5  0.2  0.3600  7.6706  14.8079
7.5  0.2  0.3600  8.1542  12.2016
7.5  0.2  0.3600  8.6683  11.5599
7.5  0.2  0.3600  9.2148  14.3082
7.5  0.2  0.3600  9.7958  22.8994
7.5  0.2  0.3600  10.4133  50.4494
7.5  0.2  0.3600  11.0698  102.7938
7.5  0.2  0.3600  11.7677  183.7420
7.5  0.2  0.3600  12.5096  297.3993
7.5  0.2  0.3600  13.2983  448.1736
7.5  0.2  0.3600  14.1367  640.7824
7.5  0.2  0.3600  15.0279  880.2594
7.5  0.2  0.3600  15.9754  1171.9615
7.5  0.2  0.3600  16.9825  1521.5755
7.5  0.2  0.3600  18.0532  1935.1248
7.5  0.2  0.3600  19.1914  2418.9760
7.5  0.2  0.3600  20.4013  2979.8456
7.5  0.2  0.3600  21.6875  3624.8062
7.5  0.2  0.3600  23.0548  4361.2935
7.5  0.2  0.3600  24.5083  5197.1115
7.5  0.2  0.3600  26.0534  6140.4392
7.5  0.2  0.3600  27.6959  7199.8356
7.5  0.2  0.3600  29.4420  8384.2454
7.5  0.2  0.3600  31.2982  9703.0032
7.5  0.2  0.3600  33.2714  11165.8384
7.5  0.2  0.3600  35.3690  12782.8789
7.5  0.2  0.3600  37.5988  14564.6541
7.5  0.2  0.3600  39.9692  16522.0979
7.5  0.2  0.3600  42.4891  18666.5506
7.5  0.2  0.3600  45.1678  21009.7604
7.5  0.2  0.3600  48.0154  23563.8837
7.5  0.2  0.3600  51.0425  26341.4853
7.5  0.2  0.3600  54.2605  29355.5376
7.5  0.2  0.3600  57.6813  32619.4184
7.5  0.2  0.3600  61.3179  36146.9087
7.5  0.2  0.3600  65.1836  39952.1895
7.5  0.2  0.3600  69.2931  44049.8369
7.5  0.2  0.3600  73.6617  48454.8176
7.5  0.2  0.3600  78.3057  53182.4825
7.5  0.2  0.3600  83.2425  58248.5597
7.5  0.2  0.3600  88.4905  63669.1469
7.5  0.2  0.3600  94.0694  69460.7024
7.5  0.2  0.3600  100.0000  75640.0352
7.5  0.2  0.4000  5.0000  40.6067
7.5  0.2  0.4000  5.3152  36.2143
7.5  0.2  0.4000  5.6503  32.1784
7.5  0.2  0.4000  6.0065  28.6176
7.5  0.2  0.4000  6.3852  24.0519
7.5  0.2  0.4000  6.7878  19.4702
7.5  0.2  0.4000  7.2157  15.5301
7.5  0.2  0.4000  7.6706  12.8389
7.5  0.2  0.4000  8.1542  11.9455
7.5  0.2  0.4000  8.6683  14.3998
7.5  0.2  0.4000  9.2148  24.0534
7.5  0.2  0.4000  9.7958  53.7294
7.5  0.2  0.4000  10.4133  109.1086
7.5  0.2  0.4000  11.0698  194.1785
7.5  0.2  0.4000  11.7677  313.2417
7.5  0.2  0.4000  12.5096  470.9237
7.5  0.2  0.4000  13.2983  672.1809
7.5  0.2  0.4000  14.1367  922.3080
7.5  0.2  0.4000  15.0279  1226.9464
7.5  0.2  0.4000  15.9754  1592.0918
7.5  0.2  0.4000  16.9825  2024.1019
7.5  0.2  0.4000  18.0532  2529.7043
7.5  0.2  0.4000  19.1914  3116.0045
7.5  0.2  0.4000  20.4013  3790.4933
7.5  0.2  0.4000  21.6875  4561.0544
7.5  0.2  0.4000  23.0548  5435.9718
7.5  0.2  0.4000  24.5083  6423.9368
7.5  0.2  0.4000  26.0534  7534.0550
7.5  0.2  0.4000  27.6959  8775.8525
7.5  0.2  0.4000  29.4420  10159.2818
7.5  0.2  0.4000  31.2982  11694.7277
7.5  0.2  0.4000  33.2714  13393.0120
7.5  0.2  0.4000  35.3690  15265.3978
7.5  0.2  0.4000  37.5988  17323.5937
7.5  0.2  0.4000  39.9692  19579.7562
7.5  0.2  0.4000  42.4891  22046.4929
7.5  0.2  0.4000  45.1678  24736.8630
7.5  0.2  0.4000  48.0154  27664.3791
7.5  0.2  0.4000  51.0425  30843.0063
7.5  0.2  0.4000  54.2605  34287.1617
7.5  0.2  0.4000  57.6813  38011.7124
7.5  0.2  0.4000  61.3179  42031.9724
7.5  0.2  0.4000  65.1836  46363.6993
7.5  0.2  0.4000  69.2931  51023.0891
7.5  0.2  0.4000  73.6617  56026.7708
7.5  0.2  0.4000  78.3057  61391.7994
7.5  0.2  0.4000  83.2425  67135.6483
7.5  0.2  0.4000  88.4905  73276.2005
7.5  0.2  0.4000  94.0694  79831.7390
7.5  0.2  0.4000  100.0000  86820.9356
7.5  0.2  0.4400  5.0000  37.5365
7.5  0.2  0.4400  5.3152  33.3425
7.5  0.2  0.4400  5.6503  29.8762
7.5  0.2  0.4400  6.0065  25.3597
7.5  0.2  0.4400  6.3852  20.6422
7.5  0.2  0.4400  6.7878  16.4075
7.5  0.2  0.4400  7.2157  13.4767
7.5  0.2  0.4400  7.6706  12.2797
7.5  0.2  0.4400  8.1542  14.2588
7.5  0.2  0.4400  8.6683  23.3427
7.5  0.2  0.4400  9.2148  52.4624
7.5  0.2  0.4400  9.7958  107.7142
7.5  0.2  0.4400  10.4133  193.2180
7.5  0.2  0.4400  11.0698  313.4261
7.5  0.2  0.4400  11.7677  473.1318
7.5  0.2  0.4400  12.5096  677.4787
7.5  0.2  0.4400  13.2983  931.9689
7.5  0.2  0.4400  14.1367  1242.4727
7.5  0.2  0.4400  15.0279  1615.2368
7.5  0.2  0.4400  15.9754  2056.8936
7.5  0.2  0.4400  16.9825  2574.4701
7.5  0.2  0.4400  18.0532  3175.3970
7.5  0.2  0.4400  19.1914  3867.5173
7.5  0.2  0.4400  20.4013  4659.0951
7.5  0.2  0.4400  21.6875  5558.8246
7.5  0.2  0.4400  23.0548  6575.8377
7.5  0.2  0.4400  24.5083  7719.7127
7.5  0.2  0.4400  26.0534  9000.4818
7.5  0.2  0.4400  27.6959  10428.6381
7.5  0.2  0.4400  29.4420  12015.1425
7.5  0.2  0.4400  31.2982  13771.4302
7.5  0.2  0.4400  33.2714  15709.4158
7.5  0.2  0.4400  35.3690  17841.4988
7.5  0.2  0.4400  37.5988  20180.5670
7.5  0.2  0.4400  39.9692  22740.0008
7.5  0.2  0.4400  42.4891  25533.6754
7.5  0.2  0.4400  45.1678  28575.9625
7.5  0.2  0.4400  48.0154  31881.7312
7.5  0.2  0.4400  51.0425  35466.3480
7.5  0.2  0.4400  54.2605  39345.6757
7.5  0.2  0.4400  57.6813  43536.0713
7.5  0.2  0.4400  61.3179  48054.3828
