# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.5  0.2356  10.4811  62.2163
218.0  1.5  0.2356  10.8571  62.2934
218.0  1.5  0.2356  11.2466  60.9601
218.0  1.5  0.2356  11.6501  60.2062
218.0  1.5  0.2356  12.0680  58.1028
218.0  1.5  0.2356  12.5009  57.1780
218.0  1.5  0.2356  12.9494  55.0600
218.0  1.5  0.2356  13.4139  54.7752
218.0  1.5  0.2356  13.8951  54.4864
218.0  1.5  0.2356  14.3936  53.4959
218.0  1.5  0.2356  14.9099  53.2090
218.0  1.5  0.2356  15.4448  52.9254
218.0  1.5  0.2356  15.9988  51.3659
218.0  1.5  0.2356  16.5728  49.7331
218.0  1.5  0.2356  17.1673  49.4049
218.0  1.5  0.2356  17.7831  48.6239
218.0  1.5  0.2356  18.4211  48.3744
218.0  1.5  0.2356  19.0819  45.6927
218.0  1.5  0.2356  19.7664  45.3952
218.0  1.5  0.2356  20.4755  45.1151
218.0  1.5  0.2356  21.2100  44.8523
218.0  1.5  0.2356  21.9709  44.6063
218.0  1.5  0.2356  22.7591  44.3768
218.0  1.5  0.2356  23.5755  44.1513
218.0  1.5  0.2356  24.4212  43.9577
218.0  1.5  0.2356  25.2973  43.7787
218.0  1.5  0.2356  26.2048  43.6117
218.0  1.5  0.2356  27.1448  43.4554
218.0  1.5  0.2356  28.1186  43.3117
218.0  1.5  0.2356  29.1273  43.1799
218.0  1.5  0.2356  30.1722  42.7592
218.0  1.5  0.2356  31.2546  42.6349
218.0  1.5  0.2356  32.3758  40.5391
218.0  1.5  0.2356  33.5372  40.4332
218.0  1.5  0.2356  34.7403  40.3366
218.0  1.5  0.2356  35.9865  40.2487
218.0  1.5  0.2356  37.2775  40.1687
218.0  1.5  0.2356  38.6148  40.0961
218.0  1.5  0.2356  40.0000  40.0303
218.0  1.5  0.2475  5.0000  90.3435
218.0  1.5  0.2475  5.1794  87.4193
218.0  1.5  0.2475  5.3652  86.9841
218.0  1.5  0.2475  5.5576  83.6711
218.0  1.5  0.2475  5.7570  83.6704
218.0  1.5  0.2475  5.9635  82.9369
218.0  1.5  0.2475  6.1775  83.5939
218.0  1.5  0.2475  6.3991  82.5976
218.0  1.5  0.2475  6.6286  80.0354
218.0  1.5  0.2475  6.8664  78.5538
218.0  1.5  0.2475  7.1127  77.9007
218.0  1.5  0.2475  7.3679  75.8617
218.0  1.5  0.2475  7.6322  74.9927
218.0  1.5  0.2475  7.9060  72.8172
218.0  1.5  0.2475  8.1896  71.5467
218.0  1.5  0.2475  8.4834  70.1236
218.0  1.5  0.2475  8.7877  68.0061
218.0  1.5  0.2475  9.1030  67.4883
218.0  1.5  0.2475  9.4295  66.1823
218.0  1.5  0.2475  9.7678  63.5650
218.0  1.5  0.2475  10.1182  63.9801
218.0  1.5  0.2475  10.4811  62.3786
218.0  1.5  0.2475  10.8571  61.2859
218.0  1.5  0.2475  11.2466  58.9279
218.0  1.5  0.2475  11.6501  57.2500
218.0  1.5  0.2475  12.0680  57.1745
218.0  1.5  0.2475  12.5009  55.7916
218.0  1.5  0.2475  12.9494  55.6700
218.0  1.5  0.2475  13.4139  54.9765
218.0  1.5  0.2475  13.8951  52.4096
218.0  1.5  0.2475  14.3936  51.6749
218.0  1.5  0.2475  14.9099  49.2661
218.0  1.5  0.2475  15.4448  48.9728
218.0  1.5  0.2475  15.9988  48.6890
218.0  1.5  0.2475  16.5728  48.4158
218.0  1.5  0.2475  17.1673  47.5546
218.0  1.5  0.2475  17.7831  47.3088
218.0  1.5  0.2475  18.4211  47.0763
218.0  1.5  0.2475  19.0819  46.8575
218.0  1.5  0.2475  19.7664  46.6528
218.0  1.5  0.2475  20.4755  43.7561
218.0  1.5  0.2475  21.2100  43.5340
218.0  1.5  0.2475  21.9709  43.3285
218.0  1.5  0.2475  22.7591  42.8545
218.0  1.5  0.2475  23.5755  42.7141
218.0  1.5  0.2475  24.4212  42.5866
218.0  1.5  0.2475  25.2973  42.4713
218.0  1.5  0.2475  26.2048  39.7031
218.0  1.5  0.2475  27.1448  39.5677
218.0  1.5  0.2475  28.1186  39.4452
218.0  1.5  0.2475  29.1273  39.3347
218.0  1.5  0.2475  30.1722  39.2354
218.0  1.5  0.2475  31.2546  39.1465
218.0  1.5  0.2475  32.3758  39.0673
218.0  1.5  0.2475  33.5372  38.9970
218.0  1.5  0.2475  34.7403  38.9348
218.0  1.5  0.2475  35.9865  38.8802
218.0  1.5  0.2475  37.2775  38.8325
218.0  1.5  0.2475  38.6148  38.7910
218.0  1.5  0.2475  40.0000  38.7553
218.0  1.5  0.2593  5.0000  93.2228
218.0  1.5  0.2593  5.1794  90.3116
218.0  1.5  0.2593  5.3652  87.1662
218.0  1.5  0.2593  5.5576  85.1619
218.0  1.5  0.2593  5.7570  84.7799
218.0  1.5  0.2593  5.9635  84.1042
218.0  1.5  0.2593  6.1775  83.1272
218.0  1.5  0.2593  6.3991  82.8369
218.0  1.5  0.2593  6.6286  80.8130
218.0  1.5  0.2593  6.8664  79.8546
218.0  1.5  0.2593  7.1127  76.3240
218.0  1.5  0.2593  7.3679  77.3795
218.0  1.5  0.2593  7.6322  73.1007
218.0  1.5  0.2593  7.9060  71.8667
218.0  1.5  0.2593  8.1896  70.3702
218.0  1.5  0.2593  8.4834  70.4753
218.0  1.5  0.2593  8.7877  68.7373
218.0  1.5  0.2593  9.1030  65.3824
218.0  1.5  0.2593  9.4295  64.4946
218.0  1.5  0.2593  9.7678  63.6112
218.0  1.5  0.2593  10.1182  62.1891
218.0  1.5  0.2593  10.4811  60.5977
218.0  1.5  0.2593  10.8571  59.3641
218.0  1.5  0.2593  11.2466  59.5625
218.0  1.5  0.2593  11.6501  57.8212
218.0  1.5  0.2593  12.0680  56.7103
218.0  1.5  0.2593  12.5009  54.1480
218.0  1.5  0.2593  12.9494  52.1116
218.0  1.5  0.2593  13.4139  51.9579
218.0  1.5  0.2593  13.8951  51.7992
218.0  1.5  0.2593  14.3936  50.4362
218.0  1.5  0.2593  14.9099  50.2701
218.0  1.5  0.2593  15.4448  49.6875
218.0  1.5  0.2593  15.9988  46.8936
218.0  1.5  0.2593  16.5728  46.6571
218.0  1.5  0.2593  17.1673  46.1990
218.0  1.5  0.2593  17.7831  46.0570
218.0  1.5  0.2593  18.4211  43.3674
218.0  1.5  0.2593  19.0819  43.1587
218.0  1.5  0.2593  19.7664  42.9663
218.0  1.5  0.2593  20.4755  42.7899
218.0  1.5  0.2593  21.2100  42.6291
218.0  1.5  0.2593  21.9709  41.9867
218.0  1.5  0.2593  22.7591  41.8582
218.0  1.5  0.2593  23.5755  41.7436
218.0  1.5  0.2593  24.4212  41.6423
218.0  1.5  0.2593  25.2973  41.5536
218.0  1.5  0.2593  26.2048  41.4767
218.0  1.5  0.2593  27.1448  41.4108
218.0  1.5  0.2593  28.1186  40.3261
218.0  1.5  0.2593  29.1273  38.5070
218.0  1.5  0.2593  30.1722  38.4444
218.0  1.5  0.2593  31.2546  38.3913
218.0  1.5  0.2593  32.3758  38.3470
218.0  1.5  0.2593  33.5372  38.2063
218.0  1.5  0.2593  34.7403  38.1952
218.0  1.5  0.2593  35.9865  38.1897
218.0  1.5  0.2593  37.2775  38.1891
218.0  1.5  0.2593  38.6148  38.1929
218.0  1.5  0.2593  40.0000  38.2006
218.0  1.5  0.2712  5.0000  99.3016
218.0  1.5  0.2712  5.1794  92.9719
218.0  1.5  0.2712  5.3652  88.1591
218.0  1.5  0.2712  5.5576  87.7580
218.0  1.5  0.2712  5.7570  85.7192
218.0  1.5  0.2712  5.9635  84.7558
218.0  1.5  0.2712  6.1775  82.6984
218.0  1.5  0.2712  6.3991  81.0342
218.0  1.5  0.2712  6.6286  81.8921
218.0  1.5  0.2712  6.8664  79.6547
218.0  1.5  0.2712  7.1127  77.4506
218.0  1.5  0.2712  7.3679  75.4421
218.0  1.5  0.2712  7.6322  74.4006
218.0  1.5  0.2712  7.9060  72.9390
218.0  1.5  0.2712  8.1896  71.7074
218.0  1.5  0.2712  8.4834  70.0339
218.0  1.5  0.2712  8.7877  66.8671
218.0  1.5  0.2712  9.1030  65.3122
218.0  1.5  0.2712  9.4295  65.4525
218.0  1.5  0.2712  9.7678  61.9492
218.0  1.5  0.2712  10.1182  60.6334
218.0  1.5  0.2712  10.4811  61.1107
218.0  1.5  0.2712  10.8571  59.9173
218.0  1.5  0.2712  11.2466  56.6660
218.0  1.5  0.2712  11.6501  54.6795
218.0  1.5  0.2712  12.0680  54.7615
218.0  1.5  0.2712  12.5009  54.8219
218.0  1.5  0.2712  12.9494  53.0347
218.0  1.5  0.2712  13.4139  51.9542
218.0  1.5  0.2712  13.8951  49.5788
218.0  1.5  0.2712  14.3936  49.1249
218.0  1.5  0.2712  14.9099  46.8895
218.0  1.5  0.2712  15.4448  46.7267
218.0  1.5  0.2712  15.9988  46.5722
218.0  1.5  0.2712  16.5728  46.0839
218.0  1.5  0.2712  17.1673  45.1781
218.0  1.5  0.2712  17.7831  45.0520
218.0  1.5  0.2712  18.4211  44.6562
218.0  1.5  0.2712  19.0819  44.5014
218.0  1.5  0.2712  19.7664  41.5583
218.0  1.5  0.2712  20.4755  41.4237
218.0  1.5  0.2712  21.2100  41.2706
218.0  1.5  0.2712  21.9709  41.2011
218.0  1.5  0.2712  22.7591  41.1118
218.0  1.5  0.2712  23.5755  38.3780
218.0  1.5  0.2712  24.4212  38.2979
218.0  1.5  0.2712  25.2973  38.2311
218.0  1.5  0.2712  26.2048  38.1766
218.0  1.5  0.2712  27.1448  38.1335
218.0  1.5  0.2712  28.1186  38.1009
218.0  1.5  0.2712  29.1273  38.0780
218.0  1.5  0.2712  30.1722  38.0638
218.0  1.5  0.2712  31.2546  37.6643
218.0  1.5  0.2712  32.3758  37.6669
218.0  1.5  0.2712  33.5372  37.6759
218.0  1.5  0.2712  34.7403  37.6905
218.0  1.5  0.2712  35.9865  37.7101
218.0  1.5  0.2712  37.2775  37.7341
218.0  1.5  0.2712  38.6148  37.7618
218.0  1.5  0.2712  40.0000  37.7741
218.0  1.5  0.2831  5.0000  111.5080
218.0  1.5  0.2831  5.1794  96.9702
218.0  1.5  0.2831  5.3652  94.0623
218.0  1.5  0.2831  5.5576  89.3803
218.0  1.5  0.2831  5.7570  84.7983
218.0  1.5  0.2831  5.9635  83.7864
218.0  1.5  0.2831  6.1775  82.7256
218.0  1.5  0.2831  6.3991  82.3362
218.0  1.5  0.2831  6.6286  80.7930
218.0  1.5  0.2831  6.8664  80.2064
218.0  1.5  0.2831  7.1127  77.4865
218.0  1.5  0.2831  7.3679  76.2963
218.0  1.5  0.2831  7.6322  74.7425
218.0  1.5  0.2831  7.9060  72.2006
218.0  1.5  0.2831  8.1896  70.8543
218.0  1.5  0.2831  8.4834  68.3252
218.0  1.5  0.2831  8.7877  67.9907
218.0  1.5  0.2831  9.1030  67.0134
218.0  1.5  0.2831  9.4295  63.0528
