# chi2  Jfactor[GeV2/cm5]
15.1946  8.165461573e+22
16.4064  8.6848894098e+22
80.6058  8.4808699848e+20
78.8898  9.8967310096e+20
77.0825  1.1520909955e+21
75.1883  1.3377651028e+21
73.2127  1.5493563046e+21
71.1629  1.7896454375e+21
68.8507  2.0615368334e+21
66.0939  2.3681882686e+21
63.2781  2.712813512e+21
60.4178  3.0988385294e+21
57.5292  3.5296898276e+21
54.6297  4.0090080996e+21
51.7379  4.5402282569e+21
48.8732  5.127204373e+21
46.0558  5.7736898348e+21
43.3065  6.483407724e+21
40.6458  7.2600130309e+21
38.0943  8.1075360111e+21
35.0008  9.029573153e+21
32.0233  1.0030079916e+22
29.2159  1.1112580473e+22
26.5972  1.2281113192e+22
24.1839  1.353937325e+22
21.9908  1.4891136687e+22
19.7607  1.6340379405e+22
17.6239  1.7891059396e+22
15.7462  1.9547235244e+22
14.1347  2.1313075896e+22
12.687  2.319297228e+22
11.2164  2.5191571578e+22
10.0279  2.7313661372e+22
9.1201  2.9564297243e+22
8.4898  3.1948930222e+22
7.8876  3.4473322126e+22
7.4255  3.7143711712e+22
7.2303  3.9966815975e+22
7.2927  4.2949657184e+22
7.6025  4.610003412e+22
7.9328  4.9426191106e+22
8.3694  5.2937152219e+22
9.0269  5.6642393615e+22
9.8927  6.0552493767e+22
10.9536  6.4678265957e+22
12.1722  6.9031933676e+22
13.2993  7.3626262831e+22
14.5777  7.8474978737e+22
16.0084  8.3592853712e+22
17.5791  8.899553671e+22
19.2783  9.470002771e+22
20.966  1.007241612e+23
79.5405  9.7356925846e+20
77.7533  1.1361043251e+21
75.8763  1.3225534387e+21
73.9149  1.5356997353e+21
71.8761  1.7785977986e+21
69.5515  2.0544399155e+21
66.7797  2.3665601403e+21
63.9437  2.7185834717e+21
61.0586  3.1141991847e+21
58.1411  3.5573401485e+21
55.2092  4.0519398531e+21
52.2827  4.6021776653e+21
49.382  5.2119967234e+21
46.5288  5.8858213466e+21
43.7452  6.6279602696e+21
41.0538  7.4426874383e+21
38.1518  8.3341986324e+21
34.9653  9.3071204209e+21
31.9377  1.0365581426e+22
29.0911  1.1514122353e+22
26.4463  1.2756788808e+22
24.0223  1.4098216674e+22
21.6655  1.5542647864e+22
19.2793  1.7094417116e+22
17.1648  1.8758088603e+22
15.3331  2.053820594e+22
13.6518  2.2439428214e+22
11.9711  2.4466541207e+22
10.6001  2.6624585525e+22
9.5406  2.8918895945e+22
8.7478  3.1354968411e+22
7.8927  3.3938606529e+22
7.3502  3.6676067857e+22
7.1139  3.9573966726e+22
7.1754  4.2639464975e+22
7.2909  4.5880273441e+22
7.541  4.93044534e+22
8.0657  5.2920957536e+22
8.8519  5.6739249994e+22
9.8858  6.0769690048e+22
10.9148  6.5023155936e+22
12.0641  6.9511791314e+22
13.427  7.4248009389e+22
14.9888  7.924584223e+22
16.6732  8.4519944576e+22
18.4136  9.008607253e+22
20.276  9.5961184108e+22
22.1905  1.0216324367e+23
24.2427  1.087117665e+23
26.4203  1.1562722587e+23
78.5114  1.1077054674e+21
76.6596  1.2926342543e+21
74.7203  1.5047719125e+21
72.7003  1.7472850322e+21
70.4273  2.0236490509e+21
67.6507  2.3374960816e+21
64.8043  2.6926195375e+21
61.9033  3.0931438611e+21
58.9648  3.5432666279e+21
56.0073  4.047462569e+21
53.0514  4.6102071218e+21
50.1186  5.236255477e+21
47.2317  5.9300940498e+21
44.4144  6.6967567321e+21
41.6909  7.5411459067e+21
38.4916  8.4681243742e+21
35.2434  9.4824659995e+21
32.1606  1.058943479e+22
29.2677  1.17937282e+22
26.5879  1.3100512544e+22
24.1427  1.4514390822e+22
21.5146  1.6040637638e+22
19.1165  1.7684079348e+22
17.0109  1.9449647918e+22
15.1616  2.1342536366e+22
13.2055  2.3367914313e+22
11.582  2.5531082767e+22
10.2969  2.7837486885e+22
9.2582  3.0292861753e+22
8.2056  3.2903277164e+22
7.5027  3.5674986281e+22
7.1454  3.8614592317e+22
7.0789  4.1729214984e+22
6.9694  4.502637992e+22
7.1909  4.8514235705e+22
7.7316  5.220155556e+22
8.5702  5.6097511424e+22
9.4433  6.0212289463e+22
10.48  6.4556657771e+22
11.7884  6.9142402899e+22
13.3525  7.3981901865e+22
14.9533  7.9088971451e+22
16.7326  8.4477735127e+22
18.6182  9.016415827e+22
20.7032  9.6164914718e+22
22.9718  1.0249793141e+23
25.2796  1.0918250281e+23
27.6068  1.1623906836e+23
30.0801  1.2368983211e+23
32.686  1.315580881e+23
77.5185  1.2504956253e+21
75.6085  1.4592628887e+21
73.6144  1.6987464168e+21
71.4509  1.9725209934e+21
68.6794  2.2845100614e+21
65.8319  2.6388139359e+21
62.9236  3.0397150247e+21
59.9716  3.4918694369e+21
56.9951  4.0000158417e+21
54.0149  4.5692057908e+21
51.0535  5.2044916336e+21
48.1348  5.9112415345e+21
45.2839  6.6945202359e+21
42.5263  7.5600105296e+21
39.1128  8.5132467462e+21
35.7991  9.5597185319e+21
32.6548  1.0704815132e+22
29.7071  1.1954479118e+22
26.9819  1.3314013476e+22
24.3664  1.4789250489e+22
21.6482  1.6385386514e+22
19.2232  1.8108376084e+22
17.1103  1.9963667701e+22
14.9825  2.1956829095e+22
13.0388  2.4093722695e+22
11.4542  2.6380184518e+22
10.2179  2.8822198905e+22
8.8846  3.1425912929e+22
7.9346  3.4197800964e+22
7.3674  3.7144715235e+22
7.0589  4.0273714982e+22
6.7859  4.3592254608e+22
6.8892  4.7108371603e+22
7.3587  5.0830561706e+22
8.0096  5.4768023901e+22
8.8116  5.8930662331e+22
9.8865  6.3328831256e+22
11.2613  6.7974029902e+22
12.7451  7.2878414436e+22
14.3953  7.8055290772e+22
16.2576  8.3518631402e+22
18.3795  8.9284034177e+22
20.7426  9.5367443171e+22
23.0265  1.017868818e+23
25.5235  1.0856117326e+23
28.2164  1.1571055538e+23
31.0884  1.2325680981e+23
34.018  1.3122301076e+23
36.9471  1.3963422453e+23
39.9995  1.485167479e+23
76.5615  1.4019397322e+21
74.5998  1.6359902281e+21
72.558  1.9044769517e+21
69.8415  2.2114076189e+21
67.002  2.56118083e+21
64.0947  2.9583934783e+21
61.1368  3.4078466021e+21
58.1475  3.9147601992e+21
55.1482  4.484446826e+21
52.1619  5.1225698139e+21
49.2134  5.8347933885e+21
46.3288  6.627135838e+21
43.5113  7.5052752817e+21
39.9867  8.475582739e+21
36.6032  9.5442627882e+21
33.391  1.0717469911e+22
30.3796  1.2001246031e+22
27.5976  1.3402253406e+22
24.8074  1.4926437253e+22
22.0305  1.6580336188e+22
19.5618  1.8369775884e+22
17.3796  2.0301432011e+22
15.0562  2.2381412924e+22
13.1039  2.4615960646e+22
11.5366  2.7011647588e+22
10.0236  2.9575016553e+22
8.7384  3.2312776628e+22
7.8688  3.5231819339e+22
7.3502  3.8339403156e+22
6.8146  4.164321016e+22
6.6996  4.5151154512e+22
6.9979  4.8871593401e+22
7.4392  5.2813537714e+22
8.1214  5.6986512086e+22
9.0862  6.1400829564e+22
10.3783  6.6067593755e+22
11.7924  7.0998412896e+22
13.441  7.6206178852e+22
15.4196  8.1704519991e+22
17.7082  8.7508353669e+22
19.9664  9.3633344548e+22
22.4847  1.0009697949e+23
25.2618  1.0691713352e+23
28.2199  1.1411401281e+23
31.2288  1.2170872019e+23
34.4012  1.2972394444e+23
37.7253  1.3818410512e+23
40.9966  1.4711507089e+23
44.4107  1.5654494377e+23
47.9698  1.6650320525e+23
75.6403  1.562037788e+21
73.6331  1.8228162727e+21
71.1151  2.1219635172e+21
68.2923  2.4639449087e+21
65.3943  2.8536613569e+21
62.4381  3.2962347088e+21
59.4428  3.7970142696e+21
56.4298  4.3618161479e+21
53.4226  4.9965595808e+21
50.4466  5.7075546383e+21
47.529  6.5011123865e+21
44.6844  7.3839383874e+21
41.0896  8.3623591874e+21
37.6328  9.4434733605e+21
34.3464  1.0634194032e+22
31.2623  1.1941378512e+22
28.4119  1.3371758695e+22
25.4864  1.4932757653e+22
22.6352  1.6630999532e+22
