# R0=8.178 kpc
# V0[km/s]  rho0[GeV/cm3]  Rc[kpc]  chi2
218.0  0.2593  19.3224  100000.0000
218.0  0.2593  19.8308  100000.0000
218.0  0.2593  20.3393  100000.0000
218.0  0.2593  20.8478  100000.0000
218.0  0.2593  21.3562  100000.0000
218.0  0.2593  21.8647  100000.0000
218.0  0.2593  22.3731  100000.0000
218.0  0.2593  22.8816  100000.0000
218.0  0.2593  23.3901  100000.0000
218.0  0.2593  23.8985  100000.0000
218.0  0.2593  24.4070  100000.0000
218.0  0.2593  24.9154  100000.0000
218.0  0.2593  25.4239  100000.0000
218.0  0.2593  25.9323  100000.0000
218.0  0.2593  26.4408  100000.0000
218.0  0.2593  26.9493  100000.0000
218.0  0.2593  27.4577  100000.0000
218.0  0.2593  27.9662  100000.0000
218.0  0.2593  28.4746  100000.0000
218.0  0.2593  28.9831  100000.0000
218.0  0.2593  29.4915  100000.0000
218.0  0.2593  30.0000  100000.0000
218.0  0.2712  0.0010  69.0910
218.0  0.2712  0.5095  68.3520
218.0  0.2712  1.0179  65.4875
218.0  0.2712  1.5264  65.9839
218.0  0.2712  2.0348  63.4520
218.0  0.2712  2.5433  63.2820
218.0  0.2712  3.0517  64.0514
218.0  0.2712  3.5602  64.8695
218.0  0.2712  4.0687  65.6585
218.0  0.2712  4.5771  64.6166
218.0  0.2712  5.0856  69.3296
218.0  0.2712  5.5940  73.8904
218.0  0.2712  6.1025  77.0222
218.0  0.2712  6.6109  86.5056
218.0  0.2712  7.1194  100000.0000
218.0  0.2712  7.6279  100000.0000
218.0  0.2712  8.1363  100000.0000
218.0  0.2712  8.6448  100000.0000
218.0  0.2712  9.1532  100000.0000
218.0  0.2712  9.6617  100000.0000
218.0  0.2712  10.1702  100000.0000
218.0  0.2712  10.6786  100000.0000
218.0  0.2712  11.1871  100000.0000
218.0  0.2712  11.6955  100000.0000
218.0  0.2712  12.2040  100000.0000
218.0  0.2712  12.7124  100000.0000
218.0  0.2712  13.2209  100000.0000
218.0  0.2712  13.7294  100000.0000
218.0  0.2712  14.2378  100000.0000
218.0  0.2712  14.7463  100000.0000
218.0  0.2712  15.2547  100000.0000
218.0  0.2712  15.7632  100000.0000
218.0  0.2712  16.2716  100000.0000
218.0  0.2712  16.7801  100000.0000
218.0  0.2712  17.2886  100000.0000
218.0  0.2712  17.7970  100000.0000
218.0  0.2712  18.3055  100000.0000
218.0  0.2712  18.8139  100000.0000
218.0  0.2712  19.3224  100000.0000
218.0  0.2712  19.8308  100000.0000
218.0  0.2712  20.3393  100000.0000
218.0  0.2712  20.8478  100000.0000
218.0  0.2712  21.3562  100000.0000
218.0  0.2712  21.8647  100000.0000
218.0  0.2712  22.3731  100000.0000
218.0  0.2712  22.8816  100000.0000
218.0  0.2712  23.3901  100000.0000
218.0  0.2712  23.8985  100000.0000
218.0  0.2712  24.4070  100000.0000
218.0  0.2712  24.9154  100000.0000
218.0  0.2712  25.4239  100000.0000
218.0  0.2712  25.9323  100000.0000
218.0  0.2712  26.4408  100000.0000
218.0  0.2712  26.9493  100000.0000
218.0  0.2712  27.4577  100000.0000
218.0  0.2712  27.9662  100000.0000
218.0  0.2712  28.4746  100000.0000
218.0  0.2712  28.9831  100000.0000
218.0  0.2712  29.4915  100000.0000
218.0  0.2712  30.0000  100000.0000
218.0  0.2831  0.0010  67.9618
218.0  0.2831  0.5095  66.6557
218.0  0.2831  1.0179  67.4736
218.0  0.2831  1.5264  66.2290
218.0  0.2831  2.0348  64.4355
218.0  0.2831  2.5433  64.0637
218.0  0.2831  3.0517  63.6742
218.0  0.2831  3.5602  63.1562
218.0  0.2831  4.0687  61.9358
218.0  0.2831  4.5771  63.7565
218.0  0.2831  5.0856  65.5238
218.0  0.2831  5.5940  64.6931
218.0  0.2831  6.1025  70.1850
218.0  0.2831  6.6109  72.8366
218.0  0.2831  7.1194  80.7612
218.0  0.2831  7.6279  86.9532
218.0  0.2831  8.1363  105.9016
218.0  0.2831  8.6448  100000.0000
218.0  0.2831  9.1532  100000.0000
218.0  0.2831  9.6617  100000.0000
218.0  0.2831  10.1702  100000.0000
218.0  0.2831  10.6786  100000.0000
218.0  0.2831  11.1871  100000.0000
218.0  0.2831  11.6955  100000.0000
218.0  0.2831  12.2040  100000.0000
218.0  0.2831  12.7124  100000.0000
218.0  0.2831  13.2209  100000.0000
218.0  0.2831  13.7294  100000.0000
218.0  0.2831  14.2378  100000.0000
218.0  0.2831  14.7463  100000.0000
218.0  0.2831  15.2547  100000.0000
218.0  0.2831  15.7632  100000.0000
218.0  0.2831  16.2716  100000.0000
218.0  0.2831  16.7801  100000.0000
218.0  0.2831  17.2886  100000.0000
218.0  0.2831  17.7970  100000.0000
218.0  0.2831  18.3055  100000.0000
218.0  0.2831  18.8139  100000.0000
218.0  0.2831  19.3224  100000.0000
218.0  0.2831  19.8308  100000.0000
218.0  0.2831  20.3393  100000.0000
218.0  0.2831  20.8478  100000.0000
218.0  0.2831  21.3562  100000.0000
218.0  0.2831  21.8647  100000.0000
218.0  0.2831  22.3731  100000.0000
218.0  0.2831  22.8816  100000.0000
218.0  0.2831  23.3901  100000.0000
218.0  0.2831  23.8985  100000.0000
218.0  0.2831  24.4070  100000.0000
218.0  0.2831  24.9154  100000.0000
218.0  0.2831  25.4239  100000.0000
218.0  0.2831  25.9323  100000.0000
218.0  0.2831  26.4408  100000.0000
218.0  0.2831  26.9493  100000.0000
218.0  0.2831  27.4577  100000.0000
218.0  0.2831  27.9662  100000.0000
218.0  0.2831  28.4746  100000.0000
218.0  0.2831  28.9831  100000.0000
218.0  0.2831  29.4915  100000.0000
218.0  0.2831  30.0000  100000.0000
218.0  0.2949  0.0010  66.9919
218.0  0.2949  0.5095  66.6803
218.0  0.2949  1.0179  65.8553
218.0  0.2949  1.5264  64.9151
218.0  0.2949  2.0348  64.5994
218.0  0.2949  2.5433  63.6534
218.0  0.2949  3.0517  62.9502
218.0  0.2949  3.5602  62.8028
218.0  0.2949  4.0687  63.3283
218.0  0.2949  4.5771  63.8629
218.0  0.2949  5.0856  63.2930
218.0  0.2949  5.5940  65.6838
218.0  0.2949  6.1025  64.9753
218.0  0.2949  6.6109  68.0920
218.0  0.2949  7.1194  72.1006
218.0  0.2949  7.6279  77.7045
218.0  0.2949  8.1363  88.4032
218.0  0.2949  8.6448  98.4247
218.0  0.2949  9.1532  118.7143
218.0  0.2949  9.6617  119.4490
218.0  0.2949  10.1702  100000.0000
218.0  0.2949  10.6786  100000.0000
218.0  0.2949  11.1871  100000.0000
218.0  0.2949  11.6955  100000.0000
218.0  0.2949  12.2040  100000.0000
218.0  0.2949  12.7124  100000.0000
218.0  0.2949  13.2209  100000.0000
218.0  0.2949  13.7294  100000.0000
218.0  0.2949  14.2378  100000.0000
218.0  0.2949  14.7463  100000.0000
218.0  0.2949  15.2547  100000.0000
218.0  0.2949  15.7632  100000.0000
218.0  0.2949  16.2716  100000.0000
218.0  0.2949  16.7801  100000.0000
218.0  0.2949  17.2886  100000.0000
218.0  0.2949  17.7970  100000.0000
218.0  0.2949  18.3055  100000.0000
218.0  0.2949  18.8139  100000.0000
218.0  0.2949  19.3224  100000.0000
218.0  0.2949  19.8308  100000.0000
218.0  0.2949  20.3393  100000.0000
218.0  0.2949  20.8478  100000.0000
218.0  0.2949  21.3562  100000.0000
218.0  0.2949  21.8647  100000.0000
218.0  0.2949  22.3731  100000.0000
218.0  0.2949  22.8816  100000.0000
218.0  0.2949  23.3901  100000.0000
218.0  0.2949  23.8985  100000.0000
218.0  0.2949  24.4070  100000.0000
218.0  0.2949  24.9154  100000.0000
218.0  0.2949  25.4239  100000.0000
218.0  0.2949  25.9323  100000.0000
218.0  0.2949  26.4408  100000.0000
218.0  0.2949  26.9493  100000.0000
218.0  0.2949  27.4577  100000.0000
218.0  0.2949  27.9662  100000.0000
218.0  0.2949  28.4746  100000.0000
218.0  0.2949  28.9831  100000.0000
218.0  0.2949  29.4915  100000.0000
218.0  0.2949  30.0000  100000.0000
218.0  0.3068  0.0010  66.9685
218.0  0.3068  0.5095  67.0402
218.0  0.3068  1.0179  64.8140
218.0  0.3068  1.5264  64.9708
218.0  0.3068  2.0348  63.2643
218.0  0.3068  2.5433  62.7199
218.0  0.3068  3.0517  63.0934
